current,voltage
-0.21,-4.718542813436727
-0.2085,-4.654557983990482
-0.207,-4.585764531576508
-0.20550000000000002,-4.516889556936564
-0.20400000000000001,-4.449111334597008
-0.2025,-4.381156762418258
-0.201,-4.3147153116459505
-0.1995,-4.24901998214929
-0.198,-4.184465888787368
-0.1965,-4.1209604347373245
-0.195,-4.058615939496523
-0.1935,-3.997285537140978
-0.192,-3.9368210569758264
-0.1905,-3.876783114308159
-0.189,-3.8176146834463904
-0.1875,-3.7589659087567875
-0.186,-3.7007812308150605
-0.1845,-3.6427422600089487
-0.183,-3.58485603227249
-0.1815,-3.527243590890546
-0.18,-3.469412890492652
-0.1785,-3.4114024864293406
-0.177,-3.3527814997233016
-0.1755,-3.293524805781253
-0.17400000000000002,-3.2330823276928693
-0.17250000000000001,-3.1259681706750677
-0.171,-0.0024900242480028834
-0.1695,-0.0024014257505284055
-0.168,-0.002387131438740782
-0.1665,-0.0023349440752887785
-0.165,-0.002305033636062216
-0.1635,-0.002239607379980224
-0.162,-0.0022256265459172403
-0.1605,-0.0021933468842306645
-0.159,-0.00216348675955855
-0.1575,-0.002131116854711339
-0.156,-0.0021143895782415054
-0.1545,-0.0020698427420673474
-0.153,-0.002025143543800144
-0.1515,-0.0020068105030465458
-0.15,-0.0019670285298539728
-0.14850000000000002,-0.0019625155921344957
-0.14700000000000002,-0.0019376859302063204
-0.14550000000000002,-0.0018856851549230204
-0.14400000000000002,-0.0018775565330348706
-0.14250000000000002,-0.0018160138159245773
-0.14100000000000001,-0.0018126179570753507
-0.1395,-0.0017820072925970245
-0.138,-0.0017321622502436125
-0.1365,-0.0017270278514742595
-0.135,-0.0017116300513192184
-0.1335,-0.0016687620131518352
-0.132,-0.0016516674252800483
-0.1305,-0.0016186299680009235
-0.129,-0.0016031976119399666
-0.1275,-0.001602608943832587
-0.126,-0.0017069776241547005
-0.1245,-0.002994265571180525
-0.123,-0.015951156781348393
-0.1215,-0.002520625500670714
-0.12,-0.0025897994626820505
-0.1185,-0.005224412032862758
-0.117,-0.006378177287901106
-0.1155,-0.002517345670456556
-0.114,-0.0020570054941516885
-0.1125,-0.0018569697305428528
-0.111,-0.001735379273538896
-0.1095,-0.0016890480599838623
-0.108,-0.0016280941170203653
-0.1065,-0.0016033026942586044
-0.105,-0.0015267872861434739
-0.1035,-0.001540845081148097
-0.10200000000000001,-0.00148638685610337
-0.1005,-0.00147102425065557
-0.099,-0.0014706899086932065
-0.0975,-0.0014126153539622478
-0.096,-0.0013799283353120243
-0.0945,-0.0013514834754955363
-0.093,-0.001323483177054357
-0.0915,-0.0013011725395233884
-0.09,-0.00126246781162038
-0.0885,-0.0012259803575026362
-0.087,-0.0012239499583039553
-0.08549999999999999,-0.0011974643517982326
-0.08399999999999999,-0.001156615953272989
-0.08249999999999999,-0.0011526346258288033
-0.081,-0.0011246464818399336
-0.0795,-0.00110160976016542
-0.078,-0.0010972186673884397
-0.0765,-0.0010590841498191602
-0.075,-0.0010209899115118989
-0.07350000000000001,-0.0010175047394621534
-0.07200000000000001,-0.0009997518347274637
-0.07050000000000001,-0.0009568409020350584
-0.069,-0.0009391315168012517
-0.0675,-0.0009113635028278567
-0.066,-0.0008854766895798691
-0.0645,-0.0008714426588641657
-0.063,-0.0008638510361352695
-0.0615,-0.0008351061500419734
-0.06,-0.0008032321262325486
-0.058499999999999996,-0.0007878112309352419
-0.056999999999999995,-0.000769217380623198
-0.0555,-0.0007387609984335498
-0.054,-0.0007267378097677653
-0.0525,-0.0007019965664638758
-0.051000000000000004,-0.0006786772526698185
-0.0495,-0.0006524163529559008
-0.048,-0.0006515581647919497
-0.0465,-0.0006258387064973342
-0.045,-0.0006051605489104594
-0.0435,-0.000571558550098637
-0.041999999999999996,-0.0005484943913527473
-0.0405,-0.0005346385809494611
-0.039,-0.0005036372472753286
-0.0375,-0.0004846100928278504
-0.036,-0.0004836401991704332
-0.0345,-0.0005024991706731155
-0.033,-0.0004935564209337759
-0.0315,-0.000510186041652002
-0.03,-0.00045838462491197784
0.0,0.0003451525798882291
0.03,0.001538214883078166
0.0315,0.0005629994664917145
0.033,0.000495402436586629
0.0345,0.0004852435529915942
0.036,0.0004766676296745691
0.0375,0.0005221341664861378
0.039,0.0005433681901944508
0.0405,0.0005501032247422264
0.041999999999999996,0.0005701118094474334
0.0435,0.0005719067009726388
0.045,0.0005888443706576319
0.0465,0.0005554779562289123
0.048,0.0005955488647902369
0.0495,0.0006195252456035658
0.051000000000000004,0.0006383710682623743
0.0525,0.0006479230135965856
0.054,0.0006492435622096551
0.0555,0.0006551926261471461
0.056999999999999995,0.0007044566075963054
0.058499999999999996,0.0006858932484449504
0.06,0.0007042664867537067
0.0615,0.0007403741578843124
0.063,0.0007640843196016632
0.0645,0.0007532655957833566
0.066,0.0007892837970144198
0.0675,0.000800387038494701
0.069,0.0008115592731901627
0.07050000000000001,0.0008343070261582994
0.07200000000000001,0.000865012798823654
0.07350000000000001,0.0008639092244704022
0.075,0.0008861711673342214
0.0765,0.0009101778368091289
0.078,0.0009255608286204245
0.0795,0.0009281035601928955
0.081,0.0009613082742901951
0.08249999999999999,0.000964633773270108
0.08399999999999999,0.001001956531310607
0.08549999999999999,0.0010223109338682549
0.087,0.0010314884882012489
0.0885,0.0010462076034919192
0.09,0.001082532751600293
0.0915,0.0010678560119275996
0.093,0.0011050620326782485
0.0945,0.0011162262954630968
0.096,0.0011400737328843022
0.0975,0.0011646524901652083
0.099,0.001167601513714313
0.1005,0.0011839229598093527
0.10200000000000001,0.0012039230780585609
