current,voltage
-0.21,-4.733281432706747
-0.2085,-4.590077868857082
-0.207,-4.667570771539831
-0.20550000000000002,-4.711680550975636
-0.20400000000000001,-4.4344108235610085
-0.2025,-4.371758601902395
-0.201,-4.471832541635275
-0.1995,-4.221481428232776
-0.198,-4.1096601942792805
-0.1965,-4.117601310283691
-0.195,-4.094900051573771
-0.1935,-4.01253686058661
-0.192,-3.932117554048091
-0.1905,-4.097167673214999
-0.189,-3.8182011387576087
-0.1875,-3.8162047544542976
-0.186,-3.7840056275369442
-0.1845,-3.6470356150001635
-0.183,-3.5860706322730924
-0.1815,-3.53019190584587
-0.18,-3.470911366692463
-0.1785,-3.4441817605859057
-0.177,-3.3853992238735033
-0.1755,-3.270588534318991
-0.17400000000000002,-3.204654527749555
-0.17250000000000001,-3.090794979808448
-0.171,-0.014204657090622698
-0.1695,-0.0060098058254631085
-0.168,-0.012980213539279188
-0.1665,-0.01648441541893668
-0.165,-0.001256629979903354
-0.1635,-0.0005656108657586269
-0.162,-0.00045242057620908634
-0.1605,-0.0004348359691657981
-0.159,-0.0004390240382334017
-0.1575,-0.00046497139903409326
-0.156,-0.0006712922840904812
-0.1545,-0.0015738271993525606
-0.153,-0.009192916411539973
-0.1515,-0.00786439164585978
-0.15,-0.0016275457787738065
-0.14850000000000002,-0.008996028338767196
-0.14700000000000002,-0.009146245162424618
-0.14550000000000002,-0.002952516207273168
-0.14400000000000002,-0.0007654837076263582
-0.14250000000000002,-0.0004266315690092594
-0.14100000000000001,-0.0002884933912359834
-0.1395,-0.00021731405882199412
-0.138,-0.00015889682642775807
-0.1365,-0.00012289178855047147
-0.135,-0.00011335740871409771
-0.1335,-7.61464531211965e-05
-0.132,1.9152528099219613e-05
-0.1305,-0.0002346034018442939
-0.129,-0.00512981269682585
-0.1275,-0.0019253221293312607
-0.126,-0.0004487808184754857
-0.1245,-0.00025628803314967416
-0.123,-0.00014995620805209386
-0.1215,-0.0001209561132863234
-0.12,-0.0001069784803712338
-0.1185,-8.883831761531498e-05
-0.117,-7.219981522211755e-05
-0.1155,-7.360441267407226e-05
-0.114,-6.744207434256407e-05
-0.1125,-5.1644216499297835e-05
-0.111,-6.807819090499606e-05
-0.1095,-6.143063820035954e-05
-0.108,-7.226332895243155e-05
-0.1065,-3.261847685961457e-05
-0.105,-5.5521704582103415e-05
-0.1035,-4.3281874354362886e-05
-0.10200000000000001,-4.01822222173817e-05
-0.1005,-5.4897397003055227e-05
-0.099,-4.115514997247552e-05
-0.0975,-4.974321390045233e-05
-0.096,-3.4477684717307974e-05
-0.0945,-4.7450743177913315e-05
-0.093,-4.468627552877601e-05
-0.0915,-4.259649535995416e-05
-0.09,-4.342131370028909e-05
