current,-600,-575,-550,-525,-500,-475,-450,-425,-400,-375,-350,-325,-300,-275,-250,-225,-200,-175,-150,-125,-100,-75,-50,-25,0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600
-0.195,-6.055328678588378,-5.926450015027655,-5.813453667421707,-5.681157084505788,-5.632665836760984,-5.490345836056505,-5.401641336165784,-5.3860489994918,-5.278980994391037,-5.096404073642177,-5.025079111572505,-4.789785279515722,-4.705992673339795,-4.757364421410786,-4.635624450246186,-4.33682946744651,-4.274689964869896,-4.192313544566976,-4.0171187160884685,-3.63477368960909,-3.404306283238634,-3.4104094636123747,-0.0078606711537185,-6.870828889049973e-05,-3.289073015265578e-05,-3.547392254622418e-05,-7.60602948555172e-05,-0.0004285352390631,-2.4175386095756712,-3.317462778235419,-3.685403529998195,-3.781178729743607,-4.102374710816623,-4.05109844440245,-4.600347076150234,-4.753956065955167,-4.933295584691835,-5.048987854951723,-5.093023722399657,-5.1854241128311465,-5.394997653203287,-5.499718159971055,-5.690268030030506,-5.826980352760777,-5.923602384625905,-6.046325555185164,-6.12103435941928,-6.186738917901329,-6.23063524676913
-0.1935,-6.015378587761904,-5.883295453907108,-5.768986487245637,-5.657059698234878,-5.5839763804340015,-5.460476887207565,-5.397505186298344,-5.297055521391802,-5.192910319145977,-5.02571830056549,-4.971841924522872,-4.8256087147815006,-4.596341314280916,-4.6922501361688695,-4.469285779287393,-4.413442575696588,-4.2976506690096645,-4.073789692874324,-3.890377681262627,-3.4770532242230603,-3.362056963125988,-3.3662392547102296,-0.000448233912472,-3.117110304783953e-05,-1.7373665288288155e-05,-1.876456925757718e-05,-3.470994118012873e-05,-0.000136407038908,-0.0024783149933484,-3.2610716110197906,-3.5987453236126483,-3.626719089133912,-4.064305150869039,-4.26585385685821,-4.517455132873851,-4.507585248974136,-4.918311701752204,-4.952192918411409,-5.063808877831592,-5.170758360664276,-5.337853131235832,-5.44618105307524,-5.661362724183179,-5.7641375171793365,-5.854699219343385,-5.994355276985994,-6.0681011526738216,-6.139436753959395,-6.1842547756466
-0.192,-5.975578449961554,-5.7937825268841845,-5.672777009843052,-5.608141388988869,-5.524182202027332,-5.393635660567642,-5.359484981101802,-5.272734192915161,-5.2079110240736135,-4.973530304888958,-4.919488930794723,-4.775150221237843,-4.59351590022112,-4.646834371454871,-4.488411237213597,-4.301421061687088,-4.092091755567145,-3.917277132610781,-3.843821958682535,-3.405932309603509,-3.3196525879334207,-3.321886959845287,-0.0001283726610605,-1.702581566016065e-05,-1.0703406511682235e-05,-1.15996510414108e-05,-1.9527211146369304e-05,-7.27546555952133e-05,-0.0003867373450189,-2.058439466474004,-3.456504238807163,-3.50494538427169,-3.9539012576310513,-4.152621898128484,-4.332787479547421,-4.689862677113848,-4.8221406746479705,-4.826859140367535,-4.993182133527106,-5.101441117631888,-5.317809918975097,-5.412354760348894,-5.606350258338169,-5.733967609969072,-5.795116449336502,-5.940874692055574,-6.009539044418168,-6.088752648941197,-6.1309469977332185
-0.1905,-5.906476813100696,-5.757342763792807,-5.648332077201374,-5.545879022655166,-5.479871841801282,-5.339695981381981,-5.31058766194481,-5.26921426084412,-5.088739791271991,-4.978001000976691,-4.880381220700226,-4.750765505602127,-4.450753011851924,-4.641718111405063,-4.383535902827862,-4.314667901574166,-3.989949521928464,-3.936017110856989,-3.801881252099546,-3.357422027786773,-3.277070474290547,-3.2773200101554765,-5.427999513321555e-05,-1.0678231980364551e-05,-7.432383580556086e-06,-8.137670164274652e-06,-1.2786709937883167e-05,-5.0730643562363554e-05,-0.0001891174757176,-0.0022492005923838,-3.354404404603276,-3.4198886955537824,-4.046529093268347,-4.301616418541445,-4.195908071547779,-4.631873379633857,-4.743986928098338,-4.848190330062311,-4.989957176109651,-5.084783203542977,-5.205059539281,-5.353997919092945,-5.550373112940061,-5.672646402110964,-5.750689568399973,-5.895699166355874,-5.967944283145392,-6.037327975519442,-6.081143831122514
-0.189,-5.837321738923904,-5.727257637387846,-5.611001758893216,-5.506844997198727,-5.439688140881132,-5.336324632894736,-5.219437712958861,-5.160252544237598,-5.054712453599726,-4.97578439417101,-4.869151491362827,-4.714055716740434,-4.407953370802966,-4.618511252520151,-4.402516791226967,-4.142070522082269,-4.132015842863321,-3.871233118416396,-3.760966875104131,-3.310832828740304,-3.2342823101143545,-2.5772714495383866,-2.8012262804065987e-05,-7.499509376947716e-06,-5.700205105812045e-06,-6.319826341332005e-06,-9.50727109929357e-06,-4.134046442262702e-05,-0.0001362864429955,-0.0004792105195912,-3.261413932131207,-3.3407914438532504,-3.945628927906344,-4.151581061291502,-4.110656153122181,-4.552396691359989,-4.6640581440979405,-4.689936529710241,-4.920136754129941,-5.043797300677073,-5.134176296714259,-5.306977291986965,-5.5091488597928855,-5.637550592668357,-5.713437503154358,-5.834138771862452,-5.913261881745273,-5.981212671471581,-6.033535708882599
-0.1875,-5.808524433249328,-5.651648947796495,-5.567059907815447,-5.465764372881831,-5.400361375429691,-5.299638828677684,-5.163502398741073,-5.091973076292164,-4.990880200841582,-4.952947657043067,-4.75473818466782,-4.644460252610259,-4.2926878664808905,-4.484233651706747,-4.2398506590680665,-4.097386268670048,-4.036075857431334,-3.804316143553127,-3.720465923839481,-3.2649870250593693,-3.191232684702549,-0.0220119379944091,-1.671223899631487e-05,-5.801737526483457e-06,-4.730860587427716e-06,-5.290330743741414e-06,-7.709541785654272e-06,-3.6757667432467374e-05,-0.0001156605491896,-0.0002840514098295,-0.2156348938486665,-3.26312521945575,-3.875955954732732,-4.11627801221651,-4.1372899953563,-4.474836195333592,-4.57358125311394,-4.795922795096925,-4.876272583985028,-4.957509463738899,-5.114717861254052,-5.271969715283667,-5.448325930327258,-5.579684781670104,-5.6477054222821135,-5.773854788719349,-5.863840112778488,-5.934611302916288,-5.988605998911213
-0.186,-5.747839090611753,-5.603451976179343,-5.524777704672027,-5.419245829231579,-5.3455858449552585,-5.234013470622518,-5.093684108396883,-4.957090047374401,-4.884411294312895,-4.8715248501000685,-4.684170001136278,-4.6139000600791,-4.4069224683117625,-4.515706127887406,-4.1126678024155865,-4.122387667712731,-3.927175267572088,-3.8557158237290263,-3.680223635438745,-3.219397482032212,-3.147924321425892,-0.0005418042146523,-1.122479492685242e-05,-4.833935288378708e-06,-4.137676985972956e-06,-4.675070191918156e-06,-6.68550389798736e-06,-3.4231518616361964e-05,-0.0001061354930143,-0.0002274642028047,-0.0045227078409354,-3.1826879969481348,-3.715097512092568,-4.080648646793336,-4.142558455198649,-4.2976482071447695,-4.528208454600317,-4.7146759139224805,-4.77460333136608,-4.911738313175585,-5.084755744744911,-5.245408830565658,-5.398867518052155,-5.530618299241315,-5.613878392928346,-5.733057172567019,-5.80268032270048,-5.87798562531536,-5.941653397799806
-0.1845,-5.683292630678036,-5.552744085512264,-5.488633431277009,-5.385760997886635,-5.305998329459889,-5.155564129344877,-5.073664160386639,-4.937805215793733,-4.89517537386732,-4.7510246225012125,-4.6084486608400885,-4.485834247719324,-4.368908590331989,-4.373309736612065,-4.0371536441446985,-4.144129627820514,-3.8166892550374856,-3.8093779180540905,-3.640169611861699,-3.173780468622334,-0.5446960182305556,-0.0001859138505124,-8.288587805706508e-06,-4.233926236333845e-06,-3.7695921229534528e-06,-4.284231104828973e-06,-6.0460773624258274e-06,-3.27403223716639e-05,-0.0001010295739775,-0.0002045971928462,-0.0180322612505483,-1.8141610749147916,-3.7720261439668494,-3.9972565906053914,-4.066674542503781,-4.254062728130133,-4.6326634180611626,-4.665338786143578,-4.751182497475834,-4.92428068231206,-5.0370222270491976,-5.196865946303214,-5.323181009267679,-5.468179338283437,-5.566782324334433,-5.657893803581448,-5.758151540808006,-5.828181909441487,-5.889252810376622
-0.183,-5.655020906489246,-5.489622189797127,-5.434288283703081,-5.3554836551698255,-5.222731355228725,-5.09299641171131,-5.065023403381154,-4.870335234120103,-4.866373029946354,-4.7505402491938025,-4.605284623816889,-4.469933738825714,-4.419630413916625,-4.306765237060095,-4.097852537443522,-3.988441354315121,-3.82834328425069,-3.772296476197154,-3.6001971567824973,-3.127718301524794,-0.0010911080600981,-0.0001028568624145,-6.625053610681226e-06,-3.866384429478342e-06,-3.5285391112936547e-06,-4.0334529950887244e-06,-5.6392549859804085e-06,-3.180059358229416e-05,-9.793705204277724e-05,-0.0001926702959357,0.0022648814704458,-0.0028805522514045,-3.69746873964964,-3.873676993744721,-4.181448073101788,-4.380121766602884,-4.584273975435679,-4.581809267222997,-4.70885781719828,-4.876453126196032,-4.965387636802705,-5.1043709566082685,-5.273681756906805,-5.4191627805040135,-5.510491138525385,-5.613766379906972,-5.698325758414372,-5.776453234034224,-5.826121673674274
-0.1815,-5.595738050910662,-5.441231358193111,-5.382454213304299,-5.272418522679282,-5.168436950872592,-5.073549464225381,-4.978403146611904,-4.861809891312794,-4.8110390681075685,-4.671720508669007,-4.525123384645657,-4.4792010979253005,-4.370788543013118,-4.283635667754393,-4.0843429620291705,-4.039705709816928,-3.807507905092041,-3.6875324936060303,-3.560260560026018,-3.080633341222123,-0.0003533034135524,-7.182398947936556e-05,-5.615040359802824e-06,-3.617698171105323e-06,-3.358978878190485e-06,-3.855156903632296e-06,-5.364642544947035e-06,-3.11382798549617e-05,-9.583660185777142e-05,-0.000185442768519,0.0002109320134331,-0.0011534378285513,-3.586645755198665,-3.854730358854225,-4.013953504079625,-4.378914747173232,-4.4028179847016,-4.55172139238147,-4.642140079689644,-4.794602779177503,-4.952330088897325,-5.02350766377689,-5.223632654943738,-5.3363636687346245,-5.440852489086452,-5.56556039713974,-5.6575399218201525,-5.719818425387187,-5.782625287043152
