current,voltage
-0.21,-4.832188845233659
-0.2085,-4.874354876330127
-0.207,-4.583518279010376
-0.20550000000000002,-4.476725196691423
-0.20400000000000001,-4.43599732711748
-0.2025,-4.377143345039546
-0.201,-4.3205490489017295
-0.1995,-4.267975510071502
-0.198,-4.222988227535462
-0.1965,-4.190216805586207
-0.195,-4.162406899924932
-0.1935,-4.004450157562565
-0.192,-3.913624834868689
-0.1905,-3.8666874670839153
-0.189,-3.8392106672672313
-0.1875,-3.7323801491404374
-0.186,-3.6341664326667114
-0.1845,-3.577014930485664
-0.183,-3.5201813394588
-0.1815,-3.4635689838422516
-0.18,-3.406935744608331
-0.1785,-3.3495107163736697
-0.177,-3.2920766754291604
-0.1755,-3.233337835220052
-0.17400000000000002,-3.1734255867055947
-0.17250000000000001,-3.0119618809624518
-0.171,-0.00018830210562233155
-0.1695,-0.00013405673972195079
-0.168,-0.0001321642609170396
-0.1665,-0.0001225029625587756
-0.165,-0.00012106293711519966
-0.1635,-0.00011132042039695619
-0.162,-0.00012882576801684443
-0.1605,-0.00011755616693674539
-0.159,-0.00011641894959744193
-0.1575,-9.538933177525557e-05
-0.156,-0.00013118654479885483
-0.1545,-0.00011793984116395751
-0.153,-9.236746619971695e-05
-0.1515,-0.00011833258942765655
-0.15,-0.00011860988836485327
-0.14850000000000002,-0.00010162644008386816
-0.14700000000000002,-0.00010805983646620944
-0.14550000000000002,-8.611891255352185e-05
-0.14400000000000002,-8.314220584350816e-05
-0.14250000000000002,-7.582819493224798e-05
-0.14100000000000001,-7.823287391155967e-05
-0.1395,-8.426795994567335e-05
-0.138,-8.840139834204756e-05
-0.1365,-8.032354127700043e-05
-0.135,-7.97303938506287e-05
-0.1335,-8.109314612033586e-05
-0.132,-9.010827836615794e-05
-0.1305,-5.608267717420447e-05
-0.129,-7.485870794471952e-05
-0.1275,-6.439366549775347e-05
-0.126,-6.381383435867123e-05
-0.1245,-5.129895961164802e-05
-0.123,-7.307430638697613e-05
-0.1215,-8.56242314266e-05
-0.12,-5.2789359153427436e-05
-0.1185,-6.94006402557624e-05
-0.117,-6.355111597305351e-05
-0.1155,-4.210606439352121e-05
-0.114,-5.5133489003090295e-05
-0.1125,-4.829324742813209e-05
-0.111,-6.489985320371027e-05
-0.1095,-3.684560715101963e-05
-0.108,-5.7803096627311325e-05
-0.1065,-5.206939480269151e-05
-0.105,-4.782871829418537e-05
-0.1035,-5.329053414522486e-05
-0.10200000000000001,-4.551004901901808e-05
